,cord_id,cord_notes
449,3009362,"A fragment stored with the quipu was associated with 10s1.  The subsidiary is broken at 9.0 cm and the fragment is 5.0 cm long, broken at both ends, and has a cluster of 7s knots."
450,3009463,The last knot cluster on 116s1 contains either 5L or 6L knots.
451,3009494,The twisted end of cord 1 is linked through the twisted end of the main cord so that it dangles from the end of the main cord (see diagram for AS100 in Ascher and  Ascher 1987).
452,3009509,The twisted end of cord 1 is linked through the twisted end of the main cord so that it dangles from the end of the main cord (see diagram for AS100 in Ascher and Ascher 1987).
453,3009521,Markers M1 and M2 are similar in appearance.  Short lengths of cord colored G are bent over the main cord and wrapped together (drawing in  Ascher and Ascher 1987:873).
454,3009550,Markers M1 and M2 are similar in appearance.  Short lengths of cord colored G are bent over the main cord and wrapped together (drawing in  Ascher and Ascher 1987:873).
455,3009558,The twisted end of cord 1 is linked through the twisted end of the main cord so that it dangles from the end of the main cord (see diagram with AS100 in Ascher and Ascher 1987).
456,3009684,See Ascher and Ascher 1987:891 for diagram of marker attachment.
457,3009707,"No length given, but must be greater than 28.0 cm because of given knot placement."
458,3009816,No length given.
459,3009863,"No length given, but must be at least 23.5 cm according to recorded knots."
460,3009878,Subsidiary 180s1s1 is tied around pendant 180 as well as around subsidiary 180s1 (see drawing Ascher and Ascher 1987:893).
461,3009890,"Length not given (only ""?"") but color changes after 5.0 cm."
462,3010210,"Pendant 35s2s1s1 is listed as having a subsidiary, but no notes exist for 35s2s1s1s1."
463,3010461,Length given as 52.05
464,3010465,"Length given as ""?"""
465,3010789,Pendants 277 and 278 are tied together at the bottom (drawing in Ascher and Ascher 1987:486).
466,3010790,Pendants 277 and 278 are tied together at the bottom (drawing in Ascher and Ascher 1987:486).
467,3011007,Marker M82 is actually between pendants 458 and 459.
468,3011008,Pendant 458 is actually between pendant 457 and M82.
469,3011022,M84 is actually located between pendant 471 and 472.
470,3011023,Pendant 471 is actually located between pendant 470 and M84.
471,3011068,M90 is actually between pendants 511 and 512.
472,3011069,Pendant 511 is actually between pendant 510 and M90
473,3011213,"Subsidiary distance listed as ""1:?""  Both 633s1  and 633s1s1 are tied to the bottom of 633 (drawing in Ascher and Ascher 1987:486)."
474,3011508,Pendant 886 is actually between M155 and 887.
475,3011509,M155 is actually between pendants 885 and 886.
476,3012116,"Marker 244 is a cord of 10 cm that has been passed through the strands of the main cord, bent, and knotted."
477,3012278,Both 633s1 and 633s1s1 are tied to the bottom of 633.
478,3012285,Both 633s1 and 633s1s1 are tied to the bottom of 633.
479,3012367,No information listed for 14s2.
480,3012491,"There is ""bundle"" at 17.0 cm"
481,3012525,"Says ""(broken)"" in subsidiary field"
482,3012527,Was Pendant 22
483,3012592,"On pendant 1s5  dark hair like fiber, B plied with cord from 12.0 cm  14.0 cm"
484,3012594,"ply disintegrated?  loose spin, low twisted, thin"
485,3012769,Aschers have a 169s1 but no 168s1.  CJB suggests that the subsidiary properly belongs on pendant 168 (11/15/2002).
486,3012770,See note on Pendant 168.
487,3012877,"From Ascher and Ascher: ""The main cord and some pendants were recently mended.  The mended portion has five pendants and some additional space.  These are left out of the listing.""  These five pendants (now nos. 274278) have been readded to the listing, a"
488,3012881,This string has been incorrectly repaired.  The end knot has been attached to broken pendant leaving the bottom part of the pendant upside down.  The position of the long knot was calculated by measuring down to the mend and up from the bottom of the pend
489,3012882,This was formerly pendant 274 in Ascher and Ascher 1987.  All subsequent pendants have been renumbered five higher as a result of the previously excluded pendants (now 274278).
490,3012902,Aschers' 1E changed to a 1s.
491,3012944,"Aschers recorded 1E and 1E knots, changed to 1E and 1s knots."
492,3012967,This information is from pendant 359 (364).
493,3012968,This information is from pendant 358 (363).
494,3013027,Broken 10/18/2000
495,3013038,"Ashers had a 1E knot, which was changed to a 2L knot by Urton."
496,3013059,This cord appears to have a different cord construction with some plies of a differently textured fiber.
497,3013093,Fiber appears different  camelid?
498,3013095,Fiber appears different  camelid?
499,3013097,"Aschers listed knot as 1E, changed to 2L by Urton."
500,3013117,Knotted in loose knot.
501,3013131,This subsidiary was not seen in 2002.
502,3013134,Broken 10/19/200
503,3013159,Broken: 10/17/2000
504,3013188,Pendants 1 and 2 are tied to the end of the main cord.
505,3013189,Pendants 1 and 2 are tied to the end of the main cord.
506,3013190,Pendant 3 is tied around pendant 4.
507,3013223,Cord 1 is linked through the twisted end of the primary cord.
508,3013237,Broken 10/17/2000.
509,3013243,Attachment = (knotted)
510,3013258,Pendant 4 is loosely tied to the main cord.
511,3013664,A pendant fragment stored with the khipu was assumed to be part of pendant 37.  Pendant 37 was broken at 16.0 cm.
512,3013717,A pendant fragment stored with the quipu was assumed to be part of subsidiary 84s1.  The subsidiary was broken at 16.0 cm.
513,3013790,The markers are threads wrapped around the main cord.  The wrapping extends for about 0.5 cm along the main cord.
514,3013803,The markers are threads wrapped around the main cord.  The wrapping extends for about 0.5 cm along the main cord.
515,3013986,Pendant 108 is broken at 7.50 cm.  We assume that a pendant fragment stored with the khipus is the completion of this pendant.
516,3014123,There is some question about whether the 1s knot is perhaps a 2s knot.
517,3014282,Pendant cords 13 and 34 were broken but could be matched with 2 broken pendants stored with the khipu.  The breaks were at 5.5 cm and 4.0 cm respectively.
518,3014285,"The marker was made of numerous short cords tied around the main cord, directed upward, and bound together (drawing Ascher and Ascher 1987:983)."
519,3014390,Formerly pendant no. 17 of khipu AS162.
520,3014391,Formerly pendant no. 18 of khipu AS162.
521,3014392,Formerly pendant no. 19 of khipu AS162.
522,3014393,Formerly pendant no. 20 of khipu AS162.
523,3014394,Formerly pendant no. 21 of khipu AS162.
524,3014395,The twisted end of cord 1 is linked through the twisted end of the main cord so that it dangles from the end of the main cord.  (See diagram for AS100 in Ascher and Ascher 1987.)
525,3014476,The twisted ends of the main cord and the first cord are linked together.  Cord 1 is shorter than the other pendants and bound with thread at its end.
526,3014710,"Subsidiaries (s1s1) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
527,3014711,"Subsidiaries (s1s1) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
528,3014718,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
529,3014719,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
530,3014791,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
531,3014792,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
532,3014793,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
533,3014808,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
534,3014809,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
535,3014810,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
536,3014811,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
537,3014812,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
538,3014816,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
539,3014817,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
540,3014818,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
541,3014834,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
542,3014835,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
543,3014836,"Subsidiaries (s1s1, s1s2, etc) attached to the first subsidiary (s1) on pendants 2, 24, 135, 157, 179, and 201 are attached in a nonstandard way.  They are looped around both the pendant and the subsidiary (s1) to which they are connected."
544,3015679,A detached fragment of 9.0 cm stored with the quipu has been assumed to be part of 5s3
545,3015878,"Length given as ""?"" with cent sign, but knot is at 15.5 cm."
546,3015916,"Color listed as ""?"" but 13.0 is the furthest knot measurement given."
547,3015933,"Length listed as ""?"""
548,3016007,9.5 cm string of 22 single knots
549,3016012,There is a small piece of cord wound around the pendant for 0.3 cm between the two long knots.
550,3016035,"Length recorded as ""?"" with cent sign, but the furthest knot is at 20.0 cm"
551,3016154,Mislisted as 23
552,3016155,Mislisted as 24.  The type E knot is either an unraveled E type knot or a twist in the cord.
553,3016160,This E knot is either an unraveled E type knot or a twist in the cord.
554,3016166,Mislisted as 22
555,3016167,Mislisted as 24s1.
556,3016351,Mend in the cord.
557,3016633,There is no notation for the position of subsidiary 16s1.
558,3016830,"Since cord is broken, cord value is recorded as (2+)."
559,3017851,"The pendant cord is mended at 5.5 cm.  It appears to have been placed upside down so the knot order is reversed and was 6s, 5L, end knot rather than 1s, 5L, 6s.  The value would then be 1?65."
560,3017908,The end of the pendant cord is formed into a loop 1.0 cm long.
561,3018451,See notes on the main page.
562,3018732,missing
563,3018969,n
564,3019292,color changes in long knot
565,3019293,color changes in long knot
566,3019334,E knot is too fragile to determine direction.
567,3019354,not double E knot; two single E
568,3019360,The second single knot has some blue stitching through it (LC).
569,3019361,The cord is not actually attached to the primary cord.  It is stiched in place on backing.
570,3019432,lots of the KB color has disintegrated for this and the following cords
571,3019536,Top string is looped through the attchements of all the fist 8 pendant cords.
572,3019549,Subsidiaries are attached through only one ply of the pendant cord.
573,3019595,Top cord is looped through the attachments of pendants 16.
574,3019636,perhaps not even attached
575,3019637,dubious attachment
576,3019758,knot is coming aparthard to read
577,3019853,unknotting at 30.0 cm
578,3019855,unknotting at 20.0 cm
579,3019856,unknotting at 17.5 cm
580,3019865,unknotting at 16.5 cm
581,3019867,unknotting at 17.5 cm
582,3019870,unknotting at 20.0 cm
583,3019873,unknotting at 18.0 cm
584,3019874,Cord is broken at 17.0 cm.  Repaired with a thread by CJB.
585,3019892,Very pretty cord!
586,3019932,Cord is broken at 16.0 cm.
587,3020104,Cord is broken at 9.5 cm.  Measured assuming the two pieces belong together.
588,3020163,disintegrated
589,3020166,cord is broken
590,3020319,very delicate cord
591,3020389,delicate cordabout to break
592,3020478,"knot reading differs from Mackey, who recorded 33.  There are clearly 4 single knots.  (Urton)"
593,3020540,"broken at 11.5, at a dark brown spot"
594,3020547,dark brown fragile spot at 1214 cm
595,3020571,long knot is disintegrating
596,3020592,"broken at 10.5, at a dark brown spot."
597,3020646,this cord is attached to primary cord with an overhand knot.
598,3020663,LG  (AB:W)
599,3020684,this cord is tied to primary cord with an overhand knot.
600,3020688,very delicate; CB disintegrating
601,3020690,attached with overhand knot
602,3020702,attached with overhand knot
603,3020757,"Cord has a recto attachment to A only.  It then forms a halfhitch around primary cords of khipu A and B.  A cord 50 was originally recorded on this khipu, but it turns out to be in fact attached to the primary cord of khipu B. "
604,3020764,Ties to primary cord of khipu A
605,3020833,"wrapped around primary cords of B, C and D to attach them together. "
606,3021123,"Cord is broken, length uncertain"
607,3021133,knot broken and incomplete; could have been more than 2 turns
608,3021138,knot is disintegrated and unreadable
609,3021150,extremely fragile and powdery
610,3021154,broken at 8.5
611,3021201,"broken at 7.5 cm.  Pendants 40 and 41 may be reversed in order.  That would put the large number in the 4th position, consistent with the rest of the khipu.  The pendants are very close at the top and fragile, difficult to determine order.  "
612,3021226,broken at 25.0 cm
613,3021253,cord ends with KB; could have been spliced.  See general notes.
614,3021263,ends with dark brown; could have been spliced
615,3021275,Ends in dark brown; may have been spliced
616,3021279,Ends in dark brown; could have been spliced
617,3021280,"Ends in dark brown, could have been spliced. "
618,3021281,ends in dark brown; could have been spliced
619,3021283,ends in dark brown.  Could have been spliced
620,3021293,this cord is separated; position unclear
621,3021323,string order in the group of pendants 37  42 is difficult to determine.
622,3021329,In the group of pendants 43  48 some strings are broken near the primary cord.
623,3021332,broken at 7.0 cm
624,3021333,broken at 7.0
625,3021343,pendants 57  60 have become detached from the primary cord; they are sewn in place to the mounting fabric
626,3021345,broken at 23.5cm
627,3021346,Broken at 35.0 cm
628,3021354,attached to the right; see observations
629,3021387,color changes between the knots
630,3021466,color chages at bottom of second knot
631,3021472,A fragment of 7.0 com has been tied to the bottom of the cord 112 with white thread.  The weights and colors match so it is possible that the fragment was originally a part of this pendant.
632,3021489,"There was a knot at 13.0 cm but it is broken and unreadable.  A fragment of 25.5 with an end knot, of similar color, is tied to pendant 129 with thread. "
633,3021529,this cord is  a marker!  The bundle of singles that makes the marker is knotted around the pCord and then plied.
634,3021554,this is a marker the singles are knotted around the pCord and then plied.
635,3021579,this is a marker.  See M1 for attachment details.
636,3021604,this marker has a doubled end.  See M1 for attachment details.
637,3021629,"marker, see M1 for attachment info"
638,3021661,color changes in the middle of the knot.
639,3021691,A loose string has been tied to the end of this subsidiary.  The colors do not match at all and it is unlikely that the strings belonged together.
640,3021696,String is disintegrating at knot; unreadable.
641,3021718,very fragile
642,3021719,broken at 29.5
643,3021721,broken at 22.5
644,3021750,"on Pendants 32  37, the KB color is disintegrating and these pendants are very fragile.  In some cases only the white ply is left in certain areas, but enough remains that it is clear they were all the same color."
645,3021781,color changes in middle of knot on subsidiary
646,3021814,broken at 32.0; very faded
647,3021837,might have had dark brown?
648,3021989,marker is attached through one ply of the primary cord.
649,3021994,almost broken above knot.
650,3022057,"knot is broken, value cannot be determined. There is dark brown discoloration at the very end of cord; it could have been spliced to dark brown. "
651,3022065,could have been spliced to dark brown
652,3022068,Could have been spliced to dark brown; color would have changed in knot.  Knot is disintegrated and value cannot be read.
653,3022070,broken below knot
654,3022071,There is a knot on a fragment which is no longer attached.  It is a long knot but is disintegrating and cannot be read.
655,3022074,disintegrating
656,3022077,could have  been spliced to dark brown
657,3022085,could have been spliced to dark brown
658,3022086,broken right below knot
659,3022105,"knot is broken, value cannot be determined"
660,3022117,knot is broken and detached from cord.
661,3022129,broken at 0.0 and at 16.0
662,3022136,color changes in middle of knot
663,3022138,could have been spliced to dark brown.
664,3022166,cord is broken just after knots
665,3022169,the cord is broken right before the first knot  these notes assume that the cord seen in place 13 is a continuation of the same pendant
666,3022229,Length is unknown.  It has been arbitrarily assigned as 5 cm so that the colors can be entered into the database.
667,3022237," On subsidiary 42s1s1s2, there is a set of three single knots, the top two of which have a red thread (SR) threaded through them. On subsidiary 42s3, there is a long knot of 4L in which the topmost turn has a similar red thread around it. "
668,3022238,A 30cm/30gm sample was snipped off the end of string 43s2 for taking a C14 date.
669,3022242,"On string 47s4s1, the string is doubled over about 5 cm from the end and knotted."
670,3022244,Subsidiary 49s1 is composed of two strings knotted together at 40.0 cm
671,3022248,Cord 53s2 is doubled back and tied in a knot on the body of the string
672,3022249,"In the first knot grouping on cord 54s2 ( i.e. the first 2S group), the MB thread at the top of the string is actually threaded in and around the first knot group"
673,3022250,The top knot grouping of cord 55s2 also (i.e. as described in the previous note) has the MB thread threaded through it.
674,3022279,The single knot on string 84s1s1 has a MB thread threaded through/around it.
675,3022286,Not sure about the length of this cord.
676,3022602,C14 sample
677,3022812,There was a 3rd subsidiary of which only traces are visible now.  It would have been s3.
678,3022901,slipknot
679,3022938,broken right after 4th S knotcould have been more
680,3023370,"The three primary ""subsidiaries"" on this cord are attached in a bundle with a lot of red thread.  Their order is uncertain."
681,3023399,Attachment: n/a  This cord is tied to cord #35 near the top.  It possibly connected two parts of a broken (?) primary cord.
682,3023400,Cord #34 is tied to this cord near the top.  It possibly connected two parts of a broken (?) primary cord.
683,3023432,This cord is tied to cord #68 near the primary cord.
684,3023433,Cord #67 is tied to this cord near the primary cord.
685,3023484,This cord is entirely rounded.
686,3023523,"This cord is not attached to the primary cord, but is placed at the beginning."
687,3023555,Cord #34 may be a subsidiary of this cord starting at 1.5 cm.
688,3023556,This cord may be a subsidiary of cord #33 starting at 1.5 cm.
689,3023574,This cord is broken off the primary cord.
690,3023808,Attachment: tied onknotted end tied in overhand knot around primary cord.
691,3023818,Attachment: tied  7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
692,3023819,Attachment: tied
693,3023821,Attachment: tied
694,3023822,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
695,3023823,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
696,3023824,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
697,3023825,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
698,3023826,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
699,3023827,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
700,3023828,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
701,3023829,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
702,3023830,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
703,3023831,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
704,3023832,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
705,3023833,7s2  7s13: Subsidiaries are opened up at the doubled end and the pendant is slipped through.
706,3023858,Attachment: tied on
707,3023860,A small brown string is tied around the cord after knot #6 in the second group (counting from the top).
708,3023880,The subsidiary of pendant #22 has been stitched to the pendant with modern thread.  It is not clear if the subsidiary truly belongs on this pendant or where its position should be.
709,3023891,Pendant #33 is knotted in a loop like a noose between 16.5 and 17.5 cm.
710,3023927,"Pendant #69 was found in the bundle of pendants 6370, but it was not attached to the primary cord.  Its location is uncertain."
711,3023946,"Pendant #88 has been patched in two places, 5.5 cm and 18.0 cm.  It is recorded as if it is a valid pendant, but its legitimacy is dubious."
712,3024150,"Pendants #292, #293, #294, and #295 are fragile and disintegrating.  Measurements taken from partial strings stitched to back."
713,3024151,"Pendants #292, #293, #294, and #295 are fragile and disintegrating.  Measurements taken from partial strings stitched to back."
714,3024152,"Pendants #292, #293, #294, and #295 are fragile and disintegrating.  Measurements taken from partial strings stitched to back."
715,3024153,"Pendants #292, #293, #294, and #295 are fragile and disintegrating.  Measurements taken from partial strings stitched to back."
716,3024195,Ravelled before end knot.
717,3024198,"A pendant cord tied around the primary cord.  One end is 16.5 cm long, the other 11.0 cm long."
718,3024226,Tied to pendant #7 at 32.0 cm.
719,3024227,Tied to subsidiary #6s1 at distance of 33 cm.
720,3024252,"Pendants 124 were mounted on cloth and stitched the opposite way from which most of the bundles fall.  There is no evidence that these were meant to be top cords.  Attachments have been read the reverse of what is visible, as they would appear if they wer"
721,3024405,The knot on this khipu is partly untied.
722,3024609,"Subsidiary #163s8 has been stitched onto its pendant cord, and it is not clear that this was its original position."
723,3024668,This subsidiary may be unknotted.
724,3024780,The pendants in group T1 (16) are broken off of the rest of the khipu.
725,3024781,The pendants in group T1 (16) are broken off of the rest of the khipu.
726,3024782,The pendants in group T1 (16) are broken off of the rest of the khipu.
727,3024783,The pendants in group T1 (16) are broken off of the rest of the khipu.
728,3024784,The pendants in group T1 (16) are broken off of the rest of the khipu.
729,3024785,The pendants in group T1 (16) are broken off of the rest of the khipu.
730,3024786,The pendants in group T1 (16) are broken off of the rest of the khipu.
731,3024882,The pendants in group T15 (8994) have a very pale blue color that probably was originally darker.
732,3024883,The pendants in group T15 (8994) have a very pale blue color that probably was originally darker.
733,3024884,The pendants in group T15 (8994) have a very pale blue color that probably was originally darker.
734,3024885,The pendants in group T15 (8994) have a very pale blue color that probably was originally darker.
735,3024886,The pendants in group T15 (8994) have a very pale blue color that probably was originally darker.
736,3024887,The pendants in group T15 (8994) have a very pale blue color that probably was originally darker.
737,3024888,The pendants in group T15 (8994) have a very pale blue color that probably was originally darker.
738,3024938,The cord is spliced at 11.5 cm.  The rest of the pendant is then looped through the doubled end of the main pendant.
739,3025061,The knot on this subsidiary may not be complete.
740,3025064,A dark reddish brown thread runs through the end of the long knot.
741,3025133,The beginning of this cord is ravelled with a knot connecting it to UR56B.  Another connecting knot to UR56B occurs at 4.5 cm.
742,3025139,The primary cord is broken after pendant cord #6.
743,3025140,The primary cord is broken after pendant cord #6.  Pendant cord #7 is held on by a loop of modern string.  it is not possible to determine The original attachment.
744,3025141,Pendant #8 resumes the primary cord.
745,3025149,The beginning of this cord is ravelled with a knot connecting it to UR56B.  Another connecting knot to UR56B occurs at 4.5 cm.
746,3025150,"The order of pendant cords #1622 is confused by the knotting to khipu UR56B.  The possible order is: 16, 21, 17, 22, 18, 19, 20."
747,3025151,"The order of pendant cords #1622 is confused by the knotting to khipu UR56B.  The possible order is: 16, 21, 17, 22, 18, 19, 20."
748,3025152,"The order of pendant cords #1622 is confused by the knotting to khipu UR56B.  The possible order is: 16, 21, 17, 22, 18, 19, 20."
749,3025153,"The order of pendant cords #1622 is confused by the knotting to khipu UR56B.  The possible order is: 16, 21, 17, 22, 18, 19, 20."
750,3025154,"The order of pendant cords #1622 is confused by the knotting to khipu UR56B.  The possible order is: 16, 21, 17, 22, 18, 19, 20."
751,3025155,"The order of pendant cords #1622 is confused by the knotting to khipu UR56B.  The possible order is: 16, 21, 17, 22, 18, 19, 20."
752,3025156,"The order of pendant cords #1622 is confused by the knotting to khipu UR56B.  The possible order is: 16, 21, 17, 22, 18, 19, 20."
753,3025162,This pendant cord is spliced to the dark brown remnant.
754,3025175,Pendant cords #1 and #2 were used to tie khipu UR56A to this khipu.
755,3025176,Pendant cords #1 and #2 were used to tie khipu UR56A to this khipu.
756,3025215,The termination may be knotted or broken.
757,3025218,This pendant cord was repaired at 9.5 cm.
758,3025237,"Pendant cord #1 is tied together with cord #2 and its subsidiaries from 2427 cm; thus, the lengths are uncertain for cords #1, #2, and the latter's subsidiaries."
759,3025238,"Pendant cord #1 is tied together with cord #2 and its subsidiaries from 2427 cm; thus, the lengths are uncertain for cords #1, #2, and the latter's subsidiaries."
760,3025295,"Pendant cord #1 is tied together with cord #2 and its subsidiaries from 2427 cm; thus, the lengths are uncertain for cords #1, #2, and the latter's subsidiaries."
761,3025296,"Pendant cord #1 is tied together with cord #2 and its subsidiaries from 2427 cm; thus, the lengths are uncertain for cords #1, #2, and the latter's subsidiaries."
762,3025350,The second 1E knot (which is the last of three  total knots) has a red thread runthrough.
763,3025373,This cord has two knot clusters.  The 4L knot in the second cluster has white thread runthrough.
764,3025374,This cord has three knot clusters.  The 1E knot in the second cluster has vegetal fiber string runthrough.
765,3025375,This cord has two knot clusters.  The second 1E knot in the final cluster has red thread runthrough.
766,3025395,This cord has two knot clusters.  The 1E knot in the second cluster has red thread runthrough.
767,3025422,The first 1E knot in this cord's knot cluster has red thread runthrough.
768,3025482,The two E knots on this cord contain a splice from the top of the first knot to the string just below the second knot (see illustration in original notes).
769,3025493,"Cord 56s1 is tied together with one of its subsidiaries, 56s1s4, at the ends of the strings."
770,3025502,Cord 56s1 is tied together with this subsidiary at the ends of the strings.
771,3025556,"Cord 45 is knotted onto the primary cord (for example, not in a halfhitch knot)."
772,3025557,This cord has two knot clusters.  The second 1E knot in the second cluster has black (LK) thread runthrough.
773,3025558,Cord 47 terminates in a bundle of short strings (15  20 cm) tied together by cord 47.  There are no knots on these strings.
774,3025577,This cord has two knot clusters.  The first single knot in the second cluster has brown (MB) thread runthrough.
775,3025590,This cord has two knot clusters.  The second 1E knot has light brown (AB) thread wrapped around it.
776,3025633,This cord is knotted with cord 10s6 at 26.5 cm.
777,3025634,This cord is knotted with cord 10s5 at 26.5 cm.
778,3025636,This cord has two knot clusters.  The second single S knot has red thread tied through it.
779,3025736,Length: 9.5 + 32.0 k  This cord is knotted onto subsidiary 46s1.
780,3025737,Length: 13.5 + 17.5 k  This cord is knotted onto subsidiary 46s1.
781,3025768,no attachment; knotted to primary cord.  Cord is knotted at bottom by a halfhitch to cord #3.  Knot occurs at 8.0cm down cord #2
782,3025876,There is a thread of color SR tied at end of knot
783,3026114,marker one is an AB thread wrapped around primary cord; Z plied and knotted above primary cord
784,3026135,See M1 note
785,3026286,"Position of cords 13 and their subsidiaries is uncertain, as they are included in knot with UR023. "
786,3026754,"This is the last pendant string on the khipu.  Aschers misread the subsidiaries of string #146, taking them to be pendant strings."
787,3026908,Cord #2 is knotted around the primary cord; continuation of this cord is cord #3.
788,3026909,Cord #2 is knotted around the primary cord; continuation of this cord is cord #3.
789,3026928,KB string tied around P. cord and extending to M3
790,3026939,See note #2 observations.
791,3027042,First knot (at 3.0 cm) is repair knot.
792,3027163,Knot positions in this cord are recorded as being between 3.5  15.0 cm.  Positions shown here are estimated.
793,3027164,Knot positions in this cord are recorded only as being between 3.5  15.5 cm.  Exact knot positions have been estimated here.
794,3027185,Knot positions are recorded only as being between 1.59.5 cm.  Exact knot positions here have been estimated.
795,3027205,Knot positions in this cord are recorded only as being between 1.0  14.5 cm.  Exact positions here have been estimated.
796,3027207,Knot positions in this cord are recorded only as being between 0.5  12.0 cm.  Exact positions here have been estimated.
797,3027208,Knot positions are recorded only as being between 1.014.0 cm.  Exact knot positions here have been estimated.
798,3027209,Knot positions on this cord are recorded only as being between 1.015.5 cm.  Exact knot positions here have been estimated.
799,3027210,Knot positions on this cord are recorded only as being between 1.010.0 cm.  Exact knot positions here have been estimated.
800,3027236,"Between 15.0 and 19.0 cm, there is a braided section.  Is this a mend?"
801,3027240,Cord is broken at 14.5 cm and tied together with a white thread.
802,3027242,Tied to primary cord with white string.
803,3027273,2.0  4.5 cm: braided section
804,3027301,Delicate
805,3027311,Repair  lost W string at top.
806,3027321,"Only one ply is left; zspun, W.  There is evidence that it was originally ___ with another strand."
807,3027334,BG stitching 18.023.0 as on cord 88.
808,3027343,Broken off primary cord.  This loose pendant was lying in the woundup fabric in this position.
809,3027344,Braided between 2.0 and 4.5 cm.
810,3027354,"Not attached, very raveled, only one ply."
811,3027361,"There is a suelto cord tied to cord 150.  It does not belong there, so it was secured outside of the sequence of pendants.  It has S twist, 44.0 cm knotted, AB color, with one knot : 1E (12.5 cm, Z)."
812,3027375,BG 10.014.5 cord wrapping as on cord 88.
813,3027385,4.57.5 cm: braided section.  Same color as pendant.
814,3027391,knot deteriorating
